track_id,song_id,artist,title,spotify_ids,tempo,valence,energy
TRAAAGR128F425B14B,SONRWUU12AF72A4283,Cyndi Lauper,Into The Nightlife,,122.0,0.674,0.54
TRAAAZF12903CCCF6B,SOUCVHW12AB018E830,Matthew Wilder,Break My Stride,1mCsF9Tw4AkIZOjvZbZZdT    2ZqT3GcisHUBsEaqhLGHwU    5ZmHlJTKHUkZFtO8xnR9XE    3HpV6YhcVRYzxluG4XEAuA    1eZKcYFOiB89aUz2RhCrbr    0euwOdZrYl2lqo6tJl1zL5    0hYxLuO8etBvfWKXW3YSSV    3auhqdoE5G1tO3TrK8YHj2    0mIQBobhiwQ2ZR0CsS11Fj    0UrVrAH3A1excBLcD1KkZD    0PZXRehZN5IdevUgKvfFfQ    3gNmRYtgQh8yEvAcD2eRAr    3Ur0nfvVloqcb77mmaGJCR    3vaU3FgJcmmYKRsozeXU3l    4lfeBRTdkmKIoFVse6Y96N    0VIFNgegNZm34l1ti0RA2C    1iuteDU9cCsNLN8zOEv35c    3Z04mbYgLKFbuVh8DVYCmU    3tanlzWIVAK6M4sygeXDOg    1HjZee2gl0X6EzgZuDuHub    45W0bx1QUe2O1derNU71rE    0z8B3WJMoPKRwSBJTH8kh1    3CxJSppGVVXQIcii5nCxlD    1xP22o08ahri0C6c526xmg    2wD0h9VOmtogsQNKtuqUgT    4aZSf3aNrb2VBQSGKn4EJ8    4tfAFC9dYjRLr5HAfBaKqa    4IJMYcMbZlFI5zUHADtztF    6NwJHJuj2HsY12WqNA1fUw    3pUfVmZOcvwG7j1t2Q8xZs    1DgloCgKfq24CUigvHRgrF    1KCoE5aaySYA7e87IzqqRd    21TsknbRdOuVs6Ao4Mka4c    4uVJy8wWeo5TBZUGp42BGC    5OZNmVfoHt1gbZl41s9U1B    1rgYVGDbVU8IJJ4zqHHbIR    2betFTdZsLl486hET0hIrZ,105.0,0.828,0.588
TRAABXH128F42955D6,SOHXFBA12A8C13D637,Brian Wilson,Keep An Eye On Summer (Album Version),1uOPCKCPUvJi2bibgJNEcJ,67.0,0.393,0.51
TRAACQE12903CC706C,SOGUCAN12AB017BF99,Old Man River,Summer,6M0vIV2gjq45xkywc4wimr    5TMMABOAISgLUvZT5WFy7Q    7Mj0uyaMSuu45i2zSSwuw8    0u0c3RKddt4A2refYHk17J,114.39696312364426,0.866,0.874
TRAADKW128E079503A,SOJCRUY12A67ADA4C2,Tracy Chapman,Fast Car (LP Version),,105.0,0.194,0.292
TRAAEEH128E0795DFE,SODHVES12A6701CE6B,Chris Rea,Driving Home For Christmas,,91.0,0.866,0.583
TRAAEJH128E0785506,SOFBGBL12A67020D9F,Hank Williams Jr.,Tuesday's Gone (Remastered Album Version),0dcJjmtZ0v9zBgKAAngw4B    5N7aD2iZIUhvgl9P6IJ3xL    59768gtUm69qLnataGmXAu,88.0,0.322,0.358
TRAAFMT128F429DB58,SOWHFXH12A8C13E77B,Tokio Hotel,1000 Meere,1v5JxTaIWGy7V5I8rGqPwb    7DPXmC8Rh4wnMRNBOFSyl6    1sa2cjsP4l84cGf4JSkM8E    5A3n4b8AiWtn3PiA45qTPI    5XN6DCT4lRonT9bDHa6roz,120.0,0.286,0.882
TRAAGKR12903CFC1E5,SOKHUFS12AC9072FC7,Calle Kristiansson,Hungry Heart,0vqh7zmAENeuhsc2SqAe9m,116.0,0.96,0.819
TRAAGMC128F4292D0F,SONMIVJ12A58A76E0B,LITTLE TEXAS,My Love (Album Version),5PyA2avguoJ2n2U42Y9GXS    5oN5xANZXw2aHBxCX6KR4E    081RCgpQkfkOdUSVpZcdUk    6Q5cuQizxkCzc2rgqElSaS    3yaa8CUuHm4wZ7tqe87ETj    4qwam8v0GW1DjxBM0aM0GW,92.0,0.428,0.534
